"area_name","name","address","lat","lng","input_fld_1","input_fld_2","input_fld_3","web_state"
"松茂町","松茂幼稚園","板野郡松茂町住吉字住吉開拓187","34.13247622","134.5900232","771-0218","088-699-3414","松茂町","public"
"海陽町","海陽幼稚園","海部郡海陽町四方原字広谷18","33.61479177","134.3574146","775-0202","0884-73-1401","海陽町","public"
"美波町","日和佐幼稚園","海部郡美波町奥河内字弁財天19-3","33.72795223","134.5336552","779-2305","0884-77-0133","美波町","public"
"那賀町","あい幼稚園","那賀郡那賀町阿井字寺西7 ","33.84909511","134.4806953","771-5207","0884-62-0715","那賀町","public"
"那賀町","北川幼稚園","那賀郡那賀町木頭折宇字六地蔵89","33.77494552","134.1137201","771-6511","0884-69-2015","那賀町","public"
"石井町","藍畑幼稚園","名西郡石井町藍畑字東覚円670","34.09790795","134.4410021","779-3212","088-674-4679","石井町","public"
"石井町","高川原幼稚園","名西郡石井町高川原字高川原1258","34.07651126","134.4489324","779-3223","088-674-3442","石井町","public"
"石井町","浦庄幼稚園","名西郡石井町浦庄字下浦481-1","34.06560433","134.4156499","779-3244","088-674-4042","石井町","public"
"石井町","高原幼稚園","名西郡石井町高原字東高原251","34.08326985","134.4215935","779-3205","088-674-4219","石井町","public"
"石井町","石井幼稚園","名西郡石井町石井字石井1170-1","34.0645837","134.4432932","779-3233","088-674-1799","石井町","public"
"三好市","吾橋幼稚園","三好市西祖谷山村下吾橋303-2","33.86635017","133.7869795","778-0104","0883-84-2533","三好市","public"
"三好市","井内幼稚園","三好市井川町井内西4896-1","33.99935769","133.880585","779-4805","0883-78-2084","三好市","public"
"三好市","西井川幼稚園","三好市井川町西井川610-1","34.03238834","133.843728","779-4806","0883-78-2092","三好市","public"
"三好市","辻幼稚園","三好市井川町辻39","34.02788744","133.8781406","779-4801","0883-78-2086","三好市","public"
"三好市","山城幼稚園　","三好市山城町大川持30-2","33.96601117","133.7541115","779-5304","0883-86-1151","三好市","public"
"三好市","箸蔵幼稚園","三好市池田町州津井関1109-1","34.03788059","133.8375592","778-0020","0883-72-4831","三好市","public"
"三好市","池田幼稚園","三好市池田町ウエノ2869-2","34.03088304","133.8089181","778-0001","0883-72-1015","三好市","public"
"三好市","三縄幼稚園","三好市池田町中西イバ504-11","33.99688997","133.7913992","779-5161","0883-64-0078","三好市","public"
"三好市","白地幼稚園","三好市池田町白地本名155","34.01689956","133.7815886","778-5251","0883-74-0336","三好市","public"
"美馬市","三島幼稚園","美馬市穴吹町三島字三谷374","34.05512944","134.1305738","777-0003","0883-53-7554","美馬市","public"
"美馬市","穴吹幼稚園","美馬市穴吹町穴吹字柏40","34.0467649","134.1691472","777-0005","0883-53-7556","美馬市","public"
"美馬市","重清西幼稚園","美馬市美馬町字八幡115","34.04750108","134.0172379","771-2107","0883-63-4005","美馬市","public"
"美馬市","重清東幼稚園","美馬市美馬町字大泉51-1","34.05133242","134.043022","771-2106","0883-63-5657","美馬市","public"
"美馬市","喜来幼稚園","美馬市美馬町字天神63-1","34.04855894","134.0534612","771-2106","0883-63-5912","美馬市","public"
"美馬市","芝坂幼稚園","美馬市美馬町字南原26","34.06440303","134.0865489","771-2104","0883-63-5911","美馬市","public"
"美馬市","郡里幼稚園","美馬市美馬町字助松158","34.05615691","134.067402","771-2104","0883-63-5312","美馬市","public"
"美馬市","岩倉幼稚園","美馬市脇町岩倉2901","34.06291823","134.1130003","779-3620","0883-53-5275","美馬市","public"
"美馬市","清水幼稚園","美馬市脇町字西俣名1069","34.15663261","134.1561795","779-3744","0883-53-6604","美馬市","public"
"美馬市","江原南幼稚園","美馬市脇町字拝原700-1","34.07186349","134.1721185","779-3601","0883-53-3070","美馬市","public"
"美馬市","江原北幼稚園","美馬市脇町字西赤谷3744-2","34.11169711","134.1711569","779-3742","0883-53-9947","美馬市","public"
"美馬市","脇町幼稚園","美馬市脇町大字猪尻字西ノ久保116","34.07055114","134.1514089","779-3602","0883-52-0086","美馬市","public"
"美馬市","木屋平幼稚園","美馬市木屋平字谷口235-1","33.91490742","134.1756782","777-0303","0883-68-3733","美馬市","public"
"阿波市","林幼稚園","阿波市阿波町東整理155","34.07415651","134.2010679","771-1706","0883-35-5046","阿波市","public"
"阿波市","伊沢幼稚園","阿波市阿波町南柴生83-1","34.08847916","134.2298686","771-1703","0883-35-3849","阿波市","public"
"阿波市","久勝幼稚園","阿波市阿波町森沢24-1","34.0853068","134.2513597","771-1702","0883-35-5087","阿波市","public"
"阿波市","八幡幼稚園","阿波市市場町大野島字稲荷183","34.09143427","134.3108534","771-1627","0883-36-3288","阿波市","public"
"阿波市","大俣幼稚園","阿波市市場町大俣字行峯255-4","34.10315802","134.2624332","771-1613","0883-36-5565","阿波市","public"
"阿波市","市場幼稚園","阿波市市場町市場字上野段676","34.08676284","134.2868616","771-1602","0883-36-3441","阿波市","public"
"阿波市","土成中央幼稚園","阿波市土成町吉田字山の神23-1","34.12360671","134.3517761","771-1507","088-637-8881","阿波市","public"
"阿波市","柿原幼稚園","阿波市吉野町柿原字ヒロナカ256-1","34.09655659","134.3521558","771-1401","088-696-3838","阿波市","public"
"阿波市","一条幼稚園","阿波市吉野町西条字岡ノ川原135","34.1006128","134.3862265","771-1402","088-696-3837","阿波市","public"
"吉野川市","種野幼稚園","吉野川市美郷字川俣47","34.03138851","134.2567745","779-3503","0883-43-2900","吉野川市","public"
"吉野川市","川田西幼稚園","吉野川市山川町川田429-6","34.06165951","134.208437","779-3404","0883-42-2201","吉野川市","public"
"吉野川市","川田幼稚園","吉野川市山川町住吉189","34.04747033","134.232459","779-3401","0883-42-2010","吉野川市","public"
"吉野川市","川田中幼稚園","吉野川市山川町町53","34.04616831","134.224879","779-3401","0883-42-2022","吉野川市","public"
"吉野川市","山瀬幼稚園","吉野川市山川町諏訪266-5","34.06173521","134.2511338","779-3403","0883-42-5884","吉野川市","public"
"吉野川市","学島幼稚園","吉野川市川島町学字唐戸50","34.05481034","134.2814988","779-3306","0883-25-4018","吉野川市","public"
"吉野川市","川島幼稚園","吉野川市川島町桑村857","34.06012495","134.3181547","779-3303","0883-25-2380","吉野川市","public"
"吉野川市","鴨島幼稚園","吉野川市鴨島町鴨島600-1","34.07276095","134.3522492","776-0010","0883-24-6391","吉野川市","public"
"吉野川市","飯尾敷地幼稚園","吉野川市鴨島町飯尾35-1","34.06245416","134.3492978","776-0033","0883-24-7906","吉野川市","public"
"吉野川市","西麻植幼稚園","吉野川市鴨島町西麻植字絵馬堂95-1","34.06790932","134.3378579","776-0020","0883-24-9172","吉野川市","public"
"吉野川市","森山幼稚園","吉野川市鴨島町山路1086","34.06245264","134.3707308","776-0036","0883-24-8895","吉野川市","public"
"吉野川市","上浦幼稚園","吉野川市鴨島町上浦931","34.06847014","134.3971093","776-0037","0883-24-8897","吉野川市","public"
"吉野川市","牛島幼稚園","吉野川市鴨島町牛島901-1","34.07395523","134.386241","776-0001","0883-24-8896","吉野川市","public"
"吉野川市","知恵島幼稚園","吉野川市鴨島町知恵島781","34.07998093","134.3503369","776-0014","0883-24-8894","吉野川市","public"
"阿南市","宝田幼稚園","阿南市宝田町久保田97-1","33.9223392","134.6371836","774-0045","0884-23-0876","阿南市","public"
"阿南市","見能林幼稚園","阿南市見能林町東野10-2","33.89930682","134.6732777","774-0017","0884-22-7500","阿南市","public"
"阿南市","橘幼稚園","阿南市橘町久保38-3","33.87252476","134.6402623","774-0023","0884-22-3390","阿南市","public"
"阿南市","新野東幼稚園","阿南市新野町名光120-2　　　　　　　　　　　　　　","33.84446124","134.6033005","779-1510","0884-36-3441","阿南市","public"
"阿南市","新野幼稚園","阿南市新野町片山54","33.84738395","134.5866386","779-1510","0884-36-2104","阿南市","public"
"阿南市","富岡幼稚園","阿南市領家町浜田182-1","33.92293405","134.6685121","774-0011","0884-22-0561","阿南市","public"
"阿南市","大野幼稚園","阿南市下大野町三条15-5","33.93435686","134.5951674","774-0047","0884-22-7810","阿南市","public"
"阿南市","加茂谷幼稚園","阿南市吉井町原33","33.92222976","134.5586086","771-5172","0884-25-0320","阿南市","public"
"阿南市","横見幼稚園","阿南市横見町上木戸49-1","33.9288629","134.656052","774-0042","0884-22-7635","阿南市","public"
"小松島市","新開幼稚園","小松島市大林町字中津44-5","33.9780974","134.6180925","773-0022","0885-37-0145","小松島市","public"
"小松島市","和田島幼稚園","小松島市和田島町字山のはな27","33.99646622","134.6399119","773-0025","0885-37-0144","小松島市","public"
"小松島市","坂野幼稚園","小松島市坂野町字根上り10","33.98208751","134.6328923","773-0023","0885-37-0143","小松島市","public"
"小松島市","立江幼稚園","小松島市立江町字松本34-3","33.96819563","134.6036054","773-0017","0885-37-0146","小松島市","public"
"小松島市","芝田幼稚園","小松島市田野町字月の輪77-4","33.98706571","134.5856879","773-0008","0885-32-7489","小松島市","public"
"小松島市","児安幼稚園","小松島市田浦町字近里27","34.0023156","134.5655436","773-0012","0885-32-7490","小松島市","public"
"小松島市","千代幼稚園","小松島市中田町字奥林29","34.0146098","134.5750951","773-0015","0885-32-5303","小松島市","public"
"小松島市","北小松島幼稚園","小松島市小松島町字北浜80","34.01488991","134.5863991","773-0001","0885-32-6227","小松島市","public"
"小松島市","南小松島幼稚園","小松島市小松島町字高須36","34.00540249","134.5857226","773-0001","0885-32-0390","小松島市","public"
"小松島市","小松島幼稚園","小松島市神田瀬町2-63","34.00958658","134.5811507","773-0002","0885-32-0260","小松島市","public"
"鳴門市","堀江南幼稚園","鳴門市大麻町西馬詰字橋ノ本7","34.14514919","134.5413214","779-0314","088-689-1422","鳴門市","public"
"鳴門市","堀江北幼稚園","鳴門市大麻町大谷字中筋53","34.15879995","134.5398054","779-0302","088-689-2220","鳴門市","public"
"鳴門市","北難西幼稚園","鳴門市北灘町折野字屋敷64-3","34.21377622","134.4823743","771-0376","088-682-0016","鳴門市","public"
"鳴門市","北難東幼稚園","鳴門市北灘町粟田字西傍示228-1","34.22413534","134.541043","771-0372","088-682-0828","鳴門市","public"
"鳴門市","大津西幼稚園","鳴門市大津町大代1210","34.16777","134.567612","772-0041","088-686-0425","鳴門市","public"
"鳴門市","瀬戸幼稚園","鳴門市瀬戸町堂浦字地廻り参220-1","34.224992","134.5880902","771-0361","088-688-0331","鳴門市","public"
"鳴門市","成稔幼稚園","鳴門市鳴門町高島字北221","34.20377184","134.5969973","772-0051","088-687-1679","鳴門市","public"
"鳴門市","鳴門東幼稚園","鳴門市鳴門町土佐泊浦字高砂65-3","34.196018","134.62355","772-0053","088-687-0828","鳴門市","public"
"鳴門市","里浦幼稚園","鳴門市里浦町里浦字西浜401","34.16760141","134.6266942","772-0021","088-686-2448","鳴門市","public"
"鳴門市","黒崎幼稚園","鳴門市撫養町黒崎字清水86-2","34.18939019","134.5958946","772-0001","088-686-9478","鳴門市","public"
"鳴門市","第一幼稚園","鳴門市大津町木津野字薮の内55-2","34.16903032","134.5925978","772-0031","088-686-3453","鳴門市","public"
"鳴門市","桑島幼稚園","鳴門市撫養町大桑島字与三左谷32","34.183865","134.607635","772-0011","088-686-9479","鳴門市","public"
"鳴門市","精華幼稚園","鳴門市撫養町立岩字内田73","34.17578232","134.6168936","772-0017","088-686-4558","鳴門市","public"
"鳴門市","撫養幼稚園","鳴門市撫養町斎田字岩崎135-3","34.17776469","134.6013364","772-0002","088-686-4093","鳴門市","public"
"鳴門市","板東幼稚園","鳴門市大麻町板東字采女34","34.15593482","134.5031034","779-0234","088-689-1437","鳴門市","public"
"鳴門市","明神幼稚園","鳴門市瀬戸町明神字越浦70","34.20142603","134.5804767","771-0360","088-688-1244","鳴門市","public"
"徳島市","加茂名南幼稚園","徳島市鮎喰町2-11-1","34.06990203","134.500184","770-0046","088-631-1203","徳島市","public"
"徳島市","八万南幼稚園","徳島市八万町橋本93-3","34.0425188","134.53124","770-8078","088-668-5577","徳島市","public"
"徳島市","南井上幼稚園","徳島市国府町日開1006","34.0871716","134.4757787","779-3117","088-642-5866","徳島市","public"
"徳島市","北井上幼稚園","徳島市国府町西黒田字南傍示275-1","34.10029075","134.4662865","779-3102","088-642-5877","徳島市","public"
"徳島市","城東幼稚園","徳島市住吉3-5-12","34.07647666","134.5704029","770-0861","088-622-3939","徳島市","public"
"徳島市","大松幼稚園","徳島市勝占町中須156-1","34.02371814","134.5531488","770-8023","088-669-0951","徳島市","public"
"徳島市","国府幼稚園","徳島市国府町中62-1","34.06766629","134.483613","779-3124","088-642-1182","徳島市","public"
"徳島市","応神幼稚園","徳島市応神町吉成字長田93-1","34.11539385","134.5282077","771-1153","088-641-1080","徳島市","public"
"徳島市","川内北幼稚園","徳島市川内町大松21-3","34.11432885","134.5731375","771-0131","088-665-0109","徳島市","public"
"徳島市","川内南幼稚園","徳島市川内町宮島錦野160-1 ","34.09562731","134.583305","771-0116","088-665-0341","徳島市","public"
"徳島市","入田幼稚園","徳島市入田町笠木11","34.03878312","134.4415238","779-3133","088-644-0350","徳島市","public"
"徳島市","上八万幼稚園","徳島市上八万町樋口151-1","34.03548282","134.5081943","770-8040","088-668-0831","徳島市","public"
"徳島市","一宮幼稚園","徳島市一宮町東丁231","34.03815507","134.4718194","779-3132","088-644-0250","徳島市","public"
"徳島市","不動幼稚園","徳島市不動本町2-140-7","34.09719465","134.5055005","770-0063","088-631-0539","徳島市","public"
"徳島市","千松幼稚園","徳島市南矢三町1-7-68","34.08415797","134.5310726","770-0005","088-631-6773","徳島市","public"
"徳島市","八万幼稚園","徳島市城南町4-1-56","34.05299011","134.5421962","770-8064","088-653-2071","徳島市","public"
"徳島市","昭和幼稚園","徳島市南昭和町6-3","34.05815904","134.5637373","770-0944","088-653-2982","徳島市","public"
"徳島市","沖洲幼稚園","徳島市南沖洲5-5-77","34.0606","134.5848476","770-0874","088-664-0361","徳島市","public"
"徳島市","加茂名幼稚園","徳島市庄町5-14-8　　　　　　　　　","34.07300531","134.5054928","770-0044","088-632-2594","徳島市","public"
"徳島市","津田幼稚園","徳島市津田西町2-5-34","34.04883291","134.574053","770-8004","088-662-0558","徳島市","public"
"徳島市","助任幼稚園","徳島市北前川町2-10","34.08069838","134.5551608","770-0806","088-652-6635","徳島市","public"
"徳島市","福島幼稚園","徳島市福島1-7-53","34.07006279","134.5656621","770-0868","088-652-6814","徳島市","public"
"徳島市","佐古幼稚園","徳島市佐古六番町1-2","34.07743944","134.52967","770-0026","088-622-0642","徳島市","public"
"徳島市","富田幼稚園","徳島市富田橋2-28","34.06328514","134.5534426","770-0937","088-623-2680","徳島市","public"
"徳島市","新町幼稚園","徳島市東山手町2-16-10","34.06807938","134.5448051","770-0906","088-652-3349","徳島市","public"
"徳島市","内町幼稚園","徳島市幸町3-73","34.06880197","134.5552282","770-0847","088-652-6055","徳島市","public"
