"area_name","name","address","lat","lng","input_fld_1","input_fld_2","input_fld_3","web_state"
"藍住町","藍住北小学校","板野郡藍住町住吉字乾1","34.1326","134.5057","771-1267","088-692-2315","藍住町","public"
"北島町","北島南小学校","板野郡北島町江尻字宮ノ本40-2","34.1188","134.5438","771-0205","088-698-2680","北島町","public"
"北島町","北島北小学校","板野郡北島町北村字壱町四反地20-1","34.1368","134.5528","771-0201","088-698-2010","北島町","public"
"松茂町","松茂小学校","板野郡松茂町住吉字住吉開拓187","34.1317","134.59","771-0218","088-699-2250","松茂町","public"
"松茂町","長原小学校","板野郡松茂町長原530","34.117568","134.602642","771-0216","088-699-2750","松茂町","public"
"海陽町","宍喰小学校","海部郡海陽町久保字松本88","33.5672","134.3018","775-0502","0884-76-2009","海陽町","public"
"海陽町","海南小学校","海部郡海陽町四方原字旭町50","33.6067","134.3546","775-0202","0884-73-0036
","海陽町","public"
"美波町","日和佐小学校","海部郡美波町奥河内字本村34-1","33.7353","134.5365","779-2305","0884-77-0055","美波町","public"
"美波町","由岐小学校","海部郡美波町西の地字谷裏90-19","33.7759","134.5974","779-2103","0884-78-0009","美波町","public"
"美波町","伊座利小学校","海部郡美波町伊座利354-2","33.806","134.6695","779-2107","0884-78-0673","美波町","public"
"牟岐町","牟岐小学校","海部郡牟岐町大字川長字市宇谷100","33.6683","134.4196","775-0004","0884-72-0792","牟岐町","public"
"那賀町","北川小学校","那賀郡那賀町木頭折宇字六地蔵89","33.7749","134.1139","771-6511","0884-69-2200","那賀町","public"
"那賀町","木頭小学校","那賀郡那賀町木頭和無田字ナカスジ1","33.7722","134.1982","771-6403","0884-68-2101","那賀町","public"
"那賀町","木沢小学校","那賀郡那賀町坂州字向エ169-1","33.8286","134.2998","771-6106","0884-65-2302","那賀町","public"
"那賀町","平谷小学校","那賀郡那賀町平谷字北浦9","33.7951","134.3015","771-6321","0884-67-0330","那賀町","public"
"那賀町","桜谷小学校","那賀郡那賀町水崎字水崎原27","33.7985","134.3807","771-5511","0884-66-0331","那賀町","public"
"那賀町","相生小学校","那賀郡那賀町延野字大原80","33.8214","134.4838","771-5406","0884-64-0123","那賀町","public"
"那賀町","鷲敷小学校","那賀郡那賀町和食字町117-4","33.8595","134.5","771-5201","0884-62-2308","那賀町","public"
"神山町","広野小学校","名西郡神山町阿野字広野42","34.0288","134.4035","771-3201","088-678-0806","神山町","public"
"石井町","藍畑小学校","名西郡石井町藍畑字東覚円670","34.097669","134.440501","779-3212","088-674-1604","石井町","public"
"石井町","高川原小学校","名西郡石井町高川原字高川原1167","34.0771","134.4481","779-3223","088-674-0105","石井町","public"
"石井町","高原小学校","名西郡石井町高原字東高原250-1","34.083552","134.4211","779-3205","088-674-1204","石井町","public"
"石井町","石井小学校","名西郡石井町石井字石井1184-1","34.0657","134.444","779-3233","088-674-0019","石井町","public"
"佐那河内村","佐那河内小学校","名東郡佐那河内村下字中川原30","33.9925","134.4552","771-4101","088-679-2611","佐那河内村","public"
"上勝町","上勝小学校","勝浦郡上勝町大字正木字平間179","33.9225","134.426","771-4505","0885-45-0003","上勝町","public"
"勝浦町","横瀬小学校","勝浦郡勝浦町大字三渓字上川原13-2","33.9301","134.4938","771-4307","0885-42-2009","勝浦町","public"
"勝浦町","生比奈小学校","勝浦郡勝浦町大字中角字豊田1-1","33.9406","134.5351","771-4302","0885-42-3004","勝浦町","public"
"三好市","櫟生小学校","三好市西祖谷山村一宇262-1","33.893067","133.815435","778-0101","0883-87-2386","三好市","public"
"三好市","井内小学校","三好市井川町井内西4896-1","33.9987","133.8796","779-4805","0883-78-2084","三好市","public"
"三好市","西井川小学校","三好市井川町西井川734-3","34.0324","133.8463","779-4806","0883-78-2234","三好市","public"
"三好市","下名小学校","三好市山城町下名1001-1","33.8704","133.7727","779-5453","0883-84-1353","三好市","public"
"三好市","政友小学校","三好市山城町政友46","33.9695","133.739","779-5344","0883-86-2112","三好市","public"
"三好市","山城小学校","三好市山城町大川持30-2","33.965898","133.754377","779-5304","0883-86-1009","三好市","public"
"三好市","三縄小学校","三好市池田町中西イバ508-1","33.996","133.7917","779-5161","0883-74-0020","三好市","public"
"三好市","馬路小学校","三好市池田町馬路立石33-1","34.0097","133.7355","778-5252","0883-74-0460","三好市","public"
"三好市","白地小学校","三好市池田町白地本名57","34.017","133.7825","778-5251","0883-74-0520","三好市","public"
"三好市","池田小学校","三好市池田町ウエノ2379-4","34.0313","133.8103","778-0001","0883-72-1241","三好市","public"
"三好市","王地小学校","三好市三野町加茂野宮1393","34.0511","133.9898","771-2302","0883-77-2048","三好市","public"
"美馬市","木屋平小学校","美馬市木屋平字谷口235","33.915","134.1757","777-0303","0883-68-3004","美馬市","public"
"美馬市","穴吹小学校","美馬市穴吹町穴吹字柏40","34.046424","134.168759","777-0005","0883-52-1059","美馬市","public"
"美馬市","重清西小学校","美馬市美馬町字八幡115","34.0471","134.0175","771-2107","0883-63-2505","美馬市","public"
"美馬市","芝坂小学校","美馬市美馬町字南原26","34.0644","134.0868","771-2104","0883-63-2039","美馬市","public"
"美馬市","喜来小学校","美馬市美馬町字天神63-1","34.048629","134.053457","771-2106","0883-63-2034","美馬市","public"
"美馬市","郡里小学校","美馬市美馬町字助松158","34.0566","134.0675","771-2104","0883-63-2010","美馬市","public"
"美馬市","岩倉小学校","美馬市脇町岩倉2879","34.0622","134.1133","779-3620","0883-52-1249
","美馬市","public"
"美馬市","清水小学校","美馬市脇町字西俣名1069","34.1568","134.1562","779-3744","0883-53-6604","美馬市","public"
"美馬市","江原北小学校","美馬市脇町字西赤谷3744-2","34.1114","134.1716","779-3742","0883-52-1620","美馬市","public"
"阿波市","林小学校","阿波市阿波町東整理155","34.0741","134.2017","771-1706","0883-35-2039","阿波市","public"
"阿波市","伊沢小学校","阿波市阿波町南柴生172","34.089517","134.229254","771-1703","0883-35-2034","阿波市","public"
"阿波市","久勝小学校","阿波市阿波町森沢28","34.0846","134.2513","771-1702","0883-35-2136","阿波市","public"
"阿波市","大俣小学校","阿波市市場町上喜来字西原200","34.1035","134.2628","771-1612","0883-36-2158","阿波市","public"
"阿波市","市場小学校","阿波市市場町市場字上野段670","34.0876","134.2874","771-1602","0883-36-2019","阿波市","public"
"阿波市","八幡小学校","阿波市市場町大野島稲荷138-1","34.0908","134.3116","771-1627","0883-36-3011","阿波市","public"
"阿波市","土成小学校","阿波市土成町成当1203","34.1089","134.3248","771-1504","088-695-3064","阿波市","public"
"阿波市","御所小学校","阿波市土成町宮川内字広坪89","34.119145","134.36164","771-1508","088-695-2004","阿波市","public"
"阿波市","一条小学校","阿波市吉野町西条字岡ノ川原135","34.1005","134.3865","771-1402","088-696-2084","阿波市","public"
"吉野川市","種野小学校","吉野川市美郷字川俣47","34.0314","134.2569","779-3503","0883-43-2900","吉野川市","public"
"吉野川市","川田西小学校","吉野川市山川町川田429-6","34.0615","134.2088","779-3404","0883-42-2201","吉野川市","public"
"吉野川市","川田中小学校","吉野川市山川町町53","34.0458","134.2251","779-3401","0883-42-2022","吉野川市","public"
"吉野川市","山瀬小学校","吉野川市山川町諏訪266-1","34.0613","134.2502","779-3403","0883-42-2133","吉野川市","public"
"吉野川市","学島小学校","吉野川市川島町学字辻76","34.056031","134.281378","779-3306","0883-25-2061","吉野川市","public"
"吉野川市","川島小学校","吉野川市川島町桑村2193","34.0568","134.3139","779-3303","0883-25-2360","吉野川市","public"
"吉野川市","知恵島小学校","吉野川市鴨島町知恵島781","34.0801","134.3501","776-0014","0883-24-2329","吉野川市","public"
"吉野川市","西麻植小学校","吉野川市鴨島町西麻植字絵馬堂85-2","34.0683","134.3392","776-0020","0883-24-2622","吉野川市","public"
"吉野川市","森山小学校","吉野川市鴨島町山路1086","34.062943","134.37033","776-0036","0883-24-2205","吉野川市","public"
"吉野川市","牛島小学校","吉野川市鴨島町牛島865-1","34.0735","134.3859","776-0001","0883-24-2019","吉野川市","public"
"阿南市","羽ノ浦小学校","阿南市羽ノ浦町中庄原婦知1-1","33.9582","134.6281","779-1101","0884-44-2053","阿南市","public"
"阿南市","新野東小学校","阿南市新野町是国37-2","33.845","134.6041","779-1510","0884-36-2103","阿南市","public"
"阿南市","新野小学校","阿南市新野町南宮ノ久保70-1","33.8472","134.5809","779-1510","0884-36-2021","阿南市","public"
"阿南市","椿泊小学校","阿南市椿泊町東127","33.8446","134.7162","779-1740","0884-33-0014","阿南市","public"
"阿南市","伊島小学校","阿南市伊島町瀬戸3-2","33.8446","134.8092","774-1760","0884-33-0302","阿南市","public"
"阿南市","椿小学校","阿南市椿町黒田47","33.8284","134.6664","779-1750","0884-33-1004","阿南市","public"
"阿南市","福井小学校","阿南市福井町大西192-1","33.8383","134.6217","779-1620","0884-34-2013","阿南市","public"
"阿南市","橘小学校","阿南市橘町大浦166-1","33.871","134.6329","774-0023","0884-27-0002","阿南市","public"
"阿南市","吉井小学校","阿南市吉井町原18-2","33.9224","134.5592","771-5172","0884-25-0210","阿南市","public"
"阿南市","山口小学校","阿南市山口町久延69-1","33.8729","134.5815","779-1403","0884-26-0204","阿南市","public"
"阿南市","桑野小学校","阿南市桑野町岡元40-1","33.8736","134.6119","779-1402","0884-26-0200","阿南市","public"
"阿南市","津乃峰小学校","阿南市津乃峰町戎山129-37","33.8843","134.6501","774-0021","0884-27-0227","阿南市","public"
"阿南市","見能林小学校","阿南市見能林町西内35","33.9007","134.6708","774-0017","0884-22-0506","阿南市","public"
"阿南市","長生小学校","阿南市長生町五反地25-2","33.9099","134.6168","774-0046","0884-22-0604","阿南市","public"
"阿南市","大野小学校","阿南市下大野町三条5","33.9344","134.5956","774-0047","0884-22-1004","阿南市","public"
"阿南市","富岡小学校","阿南市領家町浜田200","33.9238","134.6684","774-0011","0884-22-0066","阿南市","public"
"阿南市","横見小学校","阿南市横見町前長岡67-2","33.9287","134.6558","774-0042","0884-22-0363","阿南市","public"
"阿南市","中野島小学校","阿南市上中町中原182-1","33.9327","134.6285","774-0044","0884-22-0439","阿南市","public"
"小松島市","新開小学校","小松島市大林町字中津37","33.9788","134.6178","773-0022","0885-37-1102","小松島市","public"
"小松島市","和田島小学校","小松島市和田島町字山のはな8　　","33.9961","134.6408","773-0025","0885-37-1911","小松島市","public"
"小松島市","坂野小学校","小松島市坂野町字根上り6-1","33.9816","134.6331","773-0023","0885-37-1512","小松島市","public"
"小松島市","櫛渕小学校","小松島市櫛渕町字北佃45","33.9539","134.5842","773-0018","0885-37-1058","小松島市","public"
"小松島市","立江小学校","小松島市立江町字松本34-3　","33.9687","134.604","773-0017","0885-37-1002","小松島市","public"
"小松島市","千代小学校","小松島市中田町字奥林29","34.0148","134.575","773-0015","0885-32-0109","小松島市","public"
"小松島市","北小松島小学校","小松島市中田町字浜田33","34.0157","134.5868","773-0015","0885-32-0342","小松島市","public"
"小松島市","南小松島小学校","小松島市小松島町字高須36","34.0051","134.585","773-0001","0885-32-0149","小松島市","public"
"小松島市","小松島小学校","小松島市神田瀬町2-63","34.0102","134.5808","773-0002","0885-32-0128","小松島市","public"
"徳島市","八万南小学校","徳島市八万町橋本111　　","34.0428","134.5321","770-8078","088-668-4782","徳島市","public"
"徳島市","北井上小学校","徳島市国府町西黒田字南傍示205-2","34.098676","134.465791","779-3102","088-642-1004","徳島市","public"
"徳島市","国府小学校","徳島市国府町中61-1","34.0676","134.4834","779-3124","088-642-1013","徳島市","public"
"徳島市","応神小学校","徳島市応神町吉成字西吉成91-1","34.1153","134.5272","771-1153","088-641-1081","徳島市","public"
"徳島市","川内北小学校","徳島市川内町大松133　　　","34.1146","134.574","771-0131","088-665-0007","徳島市","public"
"徳島市","一宮小学校","徳島市一宮町東丁224　　　　","34.0386","134.4714","779-3132","088-644-0033","徳島市","public"
"徳島市","上八万小学校","徳島市上八万町樋口52　　　","34.0366","134.508","770-8040","088-668-0702","徳島市","public"
"徳島市","不動小学校","徳島市不動本町2-133　　","34.097269","134.506317","770-0063","088-631-0521","徳島市","public"
"徳島市","渋野小学校","徳島市渋野町西池35-1　　　　","34.0047","134.5365","771-4267","088-645-0003","徳島市","public"
"徳島市","飯谷小学校","徳島市飯谷町杉尾1-1　　　　","33.9694","134.5561","771-4265","088-645-0006","徳島市","public"
"徳島市","宮井小学校","徳島市多家良町小路地45　","33.9899","134.5333","771-4264","088-645-0005","徳島市","public"
"徳島市","方上小学校","徳島市北山町下地1-3　　　　　","34.025","134.5362","770-8032","088-669-0404","徳島市","public"
"徳島市","論田小学校","徳島市論田町本浦上9　　　　","34.0298","134.5637","770-8011","088-662-0402","徳島市","public"
"徳島市","大松小学校","徳島市大松町上野神9　　　","34.0237","134.5537","770-8022","088-669-0814","徳島市","public"
"徳島市","千松小学校","徳島市南田宮4-5-5　　　","34.0854","134.5335","770-0004","088-631-3944","徳島市","public"
"徳島市","加茂名小学校","徳島市庄町5-19　　　　　　","34.0737","134.5064","770-0044","088-631-3487","徳島市","public"
"徳島市","沖洲小学校","徳島市南沖洲2-2-4　　　　","34.0653","134.5872","770-0874","088-664-0321","徳島市","public"
"徳島市","津田小学校","徳島市津田西町2-5-27　","34.0495","134.5746","770-8004","088-662-0559","徳島市","public"
"徳島市","助任小学校","徳島市下助任町1-1　　　","34.0806","134.5568","770-0805","088-622-8375","徳島市","public"
"徳島市","城東小学校","徳島市住吉3-2-5　　　","34.0773","134.5706","770-0861","088-652-0555","徳島市","public"
"徳島市","福島小学校","徳島市福島1-7-28　　　","34.0699","134.5665","770-0868","088-622-8197","徳島市","public"
"徳島市","富田小学校","徳島市中央通3-15　　　　　　　","34.0624","134.5528","770-0936","088-622-8010","徳島市","public"
"徳島市","佐古小学校","徳島市南佐古四番町1-32　　","34.0768","134.5312","770-0034","088-622-7878","徳島市","public"
"鳴門市","撫養小学校","鳴門市撫養町斎田字岩崎72　","34.17680765","134.6017991","772-0002","088-685-1316","鳴門市","public"
"鳴門市","林崎小学校","鳴門市撫養町立岩字内田73-1　　","34.17652348","134.6165235","772-0017","088-686-2469","鳴門市","public"
"鳴門市","堀江南小学校","鳴門市大麻町西馬詰字橋ノ本7","34.14494496","134.5409834","779-0314","088-689-0014","鳴門市","public"
"鳴門市","板東小学校","鳴門市大麻町板東字宝蔵60","34.15621773","134.504575","779-0233","088-689-1222","鳴門市","public"
"鳴門市","黒崎小学校","鳴門市撫養町黒崎字宮津88-1","34.18761156","134.5966402","772-0001","088-686-2243","鳴門市","public"
"鳴門市","桑島小学校","鳴門市撫養町大桑島字与三左谷6","34.18478359","134.6068572","772-0011","088-686-2239","鳴門市","public"
"鳴門市","第一小学校","鳴門市大津町木津野字内田11","34.1685889","134.5935027","772-0031","088-685-1301","鳴門市","public"
"鳴門市","里浦小学校","鳴門市里浦町里浦字西浜401　","34.16677362","134.6267746","772-0021","088-686-0236","鳴門市","public"
"鳴門市","鳴門東小学校","鳴門市鳴門町土佐泊浦字高砂65-3","34.19563642","134.6235232","772-0053","088-687-0950","鳴門市","public"
"鳴門市","鳴門西小学校","鳴門市鳴門町高島字北217","34.2030674","134.5967067","772-0051","088-687-1152","鳴門市","public"
"鳴門市","明神小学校","鳴門市瀬戸町明神字越浦70　","34.20219802","134.5805571","771-0360","088-688-0532","鳴門市","public"
"鳴門市","瀬戸小学校","鳴門市瀬戸町堂浦字地廻り参220-1","34.22500309","134.588809","771-0361","088-688-0151","鳴門市","public"
"鳴門市","大津西小学校","鳴門市大津町大代1210","34.16660045","134.5674135","772-0041","088-686-3509","鳴門市","public"
"鳴門市","北灘東小学校","鳴門市北灘町粟田字西傍示228-1","34.22412647","134.541161","771-0372","088-682-0222","鳴門市","public"
"鳴門市","北灘西小学校","鳴門市北灘町折野字屋敷64-3","34.21408674","134.4827847","771-0376","088-682-0024","鳴門市","public"
"鳴門市","堀江北小学校","鳴門市大麻町大谷字中筋41","34.1599309","134.5414048","779-0302","088-689-0016","鳴門市","public"
"三好市","東祖谷小学校","三好市東祖谷下瀬12-1","33.87482542","133.9214571","778-0203","0883-88-2217","三好市","public"
"徳島市","加茂名南小学校","徳島市鮎喰町2-11-88","34.0692","134.4994","770-0046","088-633-1611","徳島市","public"
"徳島市","内町小学校","徳島市徳島町城内1-15　　　","34.0766","134.5509","770-0851","088-622-0742","徳島市","public"
"徳島市","新町小学校","徳島市東山手町2-25","34.06821777","134.5458341","770-0906","088-622-3348","徳島市","public"
"徳島市","八万小学校","徳島市城南町4-1-52　　　","34.05281556","134.5412966","770-8064","088-652-5049","徳島市","public"
"徳島市","入田小学校","徳島市入田町春日180-1","34.04187557","134.4421","779-3133","088-644-0053","徳島市","public"
"徳島市","川内南小学校","徳島市川内町宮島本浦5-2　　　","34.09489338","134.5836893","771-0114","088-665-0957","徳島市","public"
"徳島市","南井上小学校","徳島市国府町日開1007-2","34.08636883","134.4759142","779-3117","088-642-1085","徳島市","public"
"小松島市","芝田小学校","小松島市田野町字中須45","33.98527364","134.5834387","773-0008","0885-32-0212","小松島市","public"
"小松島市","児安小学校","小松島市田浦町字近里27","34.00200673","134.5650283","773-0012","0885-32-0171","小松島市","public"
"阿南市","岩脇小学校","阿南市羽ノ浦町岩脇町筋87","33.94240471","134.6156571","779-1106","0884-44-2234","阿南市","public"
"阿南市","宝田小学校","阿南市宝田町久保田124","33.92064451","134.6357245","774-0045","0884-22-1134","阿南市","public"
"阿南市","今津小学校","阿南市那賀川町敷地238","33.96381144","134.6463747","779-1115","0884-42-0702","阿南市","public"
"阿南市","平島小学校","阿南市那賀川町赤池131-2","33.94322042","134.6625107","779-1242","0884-42-0039","阿南市","public"
"吉野川市","上浦小学校","吉野川市鴨島町上浦931","34.06813112","134.3965069","776-0037","0883-24-2009","吉野川市","public"
"吉野川市","鴨島小学校","吉野川市鴨島町鴨島564","34.07317561","134.3539636","776-0010","0883-24-2237","吉野川市","public"
"吉野川市","飯尾敷地小学校","吉野川市鴨島町飯尾7","34.06253996","134.3502824","776-0033","0883-24-2527","吉野川市","public"
"吉野川市","川田小学校","吉野川市山川町住吉189","34.04744668","134.2322161","779-3401","0883-42-2010","吉野川市","public"
"阿波市","柿原小学校","阿波市吉野町柿原字ヒロナカ256-1","34.09717789","134.3527283","771-1401","088-696-2209","阿波市","public"
"美馬市","江原南小学校","美馬市脇町字拝原829","34.07257774","134.1721","779-3601","0883-52-1189","美馬市","public"
"美馬市","脇町小学校","美馬市脇町大字猪尻字西ノ久保116","34.07075112","134.151318","779-3602","0883-52-1165","美馬市","public"
"美馬市","重清東小学校","美馬市美馬町字大泉51-1","34.05145999","134.042804","771-2106","0883-63-2506","美馬市","public"
"美馬市","三島小学校","美馬市穴吹町三島字三谷374","34.05544222","134.1291663","777-0003","0883-52-1375","美馬市","public"
"三好市","吾橋小学校","三好市西祖谷山村下吾橋303-2","33.86645056","133.786823","778-0104","0883-84-2533","三好市","public"
"三好市","芝生小学校","三好市三野町芝生1230","34.04158001","133.9662467","771-2304","0883-77-2004","三好市","public"
"三好市","箸蔵小学校","三好市池田町州津井関1208","34.03708226","133.8369797","778-0020","0883-72-0821","三好市","public"
"三好市","川崎小学校","三好市池田町川崎浪会31","33.9680836","133.7747405","779-5166","0883-74-0414","三好市","public"
"三好市","大野小学校","三好市山城町大野519","33.96540708","133.714666","779-5333","0883-86-2011","三好市","public"
"三好市","辻小学校","三好市井川町辻53-1","34.02847339","133.8784759","779-4801","0883-78-2041","三好市","public"
"石井町","浦庄小学校","名西郡石井町浦庄字下浦475-1","34.06645109","134.4163906","779-3244","088-674-0142","石井町","public"
"美波町","木岐小学校","海部郡美波町木岐72","33.76555676","134.5759219","779-2108","0884-78-0669","美波町","public"
"東みよし町","三庄小学校","三好郡東みよし町中庄1130-1","34.03848002","133.9473483","779-4703","0883-82-2306","東みよし町","public"
"松茂町","喜来小学校","板野郡松茂町中喜来字前原西一番越14","34.14229044","134.5743259","771-0212","088-699-2724","松茂町","public"
"北島町","北島小学校","板野郡北島町中村字長池17-3","34.1248977","134.5499161","771-0203","088-698-2250","北島町","public"
"板野町","板野東小学校大坂分校","板野郡板野町大坂字宮東20","34.1779","134.4481475","779-0101","088-672-4703","板野町","public"
"上板町","松島小学校","板野郡上板町鍛冶屋原字北原20","34.12088025","134.3990165","771-1301","088-694-2004","上板町","public"
"上板町","東光小学校","板野郡上板町西分字東光8","34.11773982","134.4289376","771-1330","088-694-2068","上板町","public"
"海陽町","海部小学校","海部郡海陽町奥浦字堤ノ外44","33.59394977","134.3568525","775-0302","0884-73-0201","海陽町","public"
"神山町","神領小学校","名西郡神山町神領字大埜地411-1","33.96930677","134.3576058","771-3310","088-676-0015","神山町","public"
